name,date,positive,pos_new,pos_7dayavg,neg_7dayavg,test_new,tests,pos_rate,pos_rate_gam,case
Adams,2020-03-15 19:00:00,0,0,NA,NA,6,NA,0,6.20049752104273e-06,0
Adams,2020-03-16 19:00:00,0,0,0,NA,6,NA,0,1.08880067827016e-05,0
Adams,2020-03-17 19:00:00,0,0,0,NA,6,NA,0,1.91071893034677e-05,0
Adams,2020-03-18 19:00:00,0,0,0,NA,6,NA,0,3.34757269576449e-05,0
Adams,2020-03-19 19:00:00,0,0,0,NA,6,NA,0,5.84689817354303e-05,0
Adams,2020-03-20 19:00:00,0,0,0,NA,6,NA,0,0.000101626613605001,0
Adams,2020-03-21 19:00:00,0,0,0,NA,6,NA,0,0.000175417456681503,0
Adams,2020-03-22 19:00:00,0,0,0,NA,6,NA,0,0.000299996862337702,0
Adams,2020-03-23 19:00:00,0,0,0,NA,6,NA,0,0.000507056343259501,0
Adams,2020-03-24 19:00:00,0,0,0,NA,6,NA,0,0.000844797721029006,0
Adams,2020-03-25 19:00:00,0,0,0,NA,6,NA,0,0.00138367144186258,0
Adams,2020-03-26 19:00:00,0,0,0,NA,6,NA,0,0.00222182009247344,0
Adams,2020-03-27 19:00:00,0,0,0,NA,6,NA,0,0.00348816620067817,0
Adams,2020-03-28 19:00:00,0,0,0,NA,6,NA,0,0.00533998087610812,0
Adams,2020-03-29 19:00:00,0,0,0,NA,6,NA,0,0.00795108522014992,0
Adams,2020-03-30 19:00:00,0,0,0,NA,6,30,0,0.0114874043952401,0
Adams,2020-03-31 19:00:00,0,0,0,6,6,36,0,0.0160692790352144,0
Adams,2020-04-01 19:00:00,0,0,0,4.5,3,39,0,0.0217249657811111,0
Adams,2020-04-02 19:00:00,1,1,0.14,3.33,2,41,0.5,0.0283459047792341,1.97457659637788
Adams,2020-04-03 19:00:00,1,0,0.14,5,10,51,0,0.0356587034710628,0
Adams,2020-04-04 19:00:00,1,0,0.14,4.2,1,52,0,0.0432279971942326,0
Adams,2020-04-05 19:00:00,1,0,0.14,3.5,0,52,0.0555555555555556,0.0504969310069913,0
Adams,2020-04-06 19:00:00,2,1,0.29,4.14,9,61,0.111111111111111,0.0568602753009554,1.96344401345381
Adams,2020-04-07 19:00:00,2,0,0.29,3.86,4,65,0,0.0617544230200252,0
Adams,2020-04-08 19:00:00,2,0,0.29,4,4,69,0,0.0647435861333871,0
Adams,2020-04-09 19:00:00,2,0,0.14,4.57,5,74,0,0.0655837421202706,0
Adams,2020-04-10 19:00:00,2,0,0.14,3.57,3,77,0,0.0642529156226926,0
Adams,2020-04-11 19:00:00,2,0,0.14,3.57,1,78,0,0.0609446393984878,0
Adams,2020-04-12 19:00:00,2,0,0.14,5.14,11,89,0,0.0560285685594402,0
Adams,2020-04-13 19:00:00,3,1,0.14,4.57,5,94,0.2,0.0499875735225609,1.70925616344711
Adams,2020-04-14 19:00:00,3,0,0.14,4.29,2,96,0,0.0433441707836631,0
Adams,2020-04-15 19:00:00,3,0,0.14,3.86,1,97,0,0.0365904124179794,0
Adams,2020-04-16 19:00:00,3,0,0.14,3.57,3,100,0,0.030133609222426,0
Adams,2020-04-17 19:00:00,4,1,0.29,3.86,6,106,0.166666666666667,0.0242654842703648,1.53423818757376
Adams,2020-04-18 19:00:00,4,0,0.29,4.43,5,111,0,0.0191559023090065,0
Adams,2020-04-19 19:00:00,4,0,0.29,3.14,1,112,0,0.014866469604928,0
Adams,2020-04-20 19:00:00,4,0,0.14,2.43,0,112,0,0.011375965112385,0
Adams,2020-04-21 19:00:00,4,0,0.14,2.86,5,117,0,0.00860931048745776,0
Adams,2020-04-22 19:00:00,4,0,0.14,3.14,3,120,0,0.00646381118134982,0
Adams,2020-04-23 19:00:00,4,0,0.14,3.29,4,124,0,0.00482929420680598,0
Adams,2020-04-24 19:00:00,4,0,0,3.57,7,131,0,0.00360133635635425,0
Adams,2020-04-25 19:00:00,4,0,0,3.71,6,137,0,0.00268843573658706,0
Adams,2020-04-26 19:00:00,4,0,0,3.71,2,139,0,0.00201470092763281,0
Adams,2020-04-27 19:00:00,4,0,0,5,8,147,0,0.00151968284202709,0
Adams,2020-04-28 19:00:00,4,0,0,5,5,152,0,0.00115667603703409,0
Adams,2020-04-29 19:00:00,4,0,0,5.57,7,159,0,0.000890415181083742,0
Adams,2020-04-30 19:00:00,4,0,0,5.57,4,163,0,0.000694728371719146,0
Adams,2020-05-01 19:00:00,4,0,0,6,10,173,0,0.000550436396209478,0
Adams,2020-05-02 19:00:00,4,0,0,6.29,8,181,0,0.00044360925313781,0
Adams,2020-05-03 19:00:00,4,0,0,6.14,1,182,0,0.000364189445332308,0
Adams,2020-05-04 19:00:00,4,0,0,7.14,15,197,0,0.000304941987998773,0
Adams,2020-05-05 19:00:00,4,0,0,7.57,8,205,0,0.000260673340967319,0
Adams,2020-05-06 19:00:00,4,0,0,8.71,15,220,0,0.000227660890375447,0
Adams,2020-05-07 19:00:00,4,0,0,11.14,21,241,0,0.000203241830508777,0
Adams,2020-05-08 19:00:00,4,0,0,11.43,12,253,0,0.000185519999093772,0
Adams,2020-05-09 19:00:00,4,0,0,11.71,10,263,0,0.000173158705159519,0
Adams,2020-05-10 19:00:00,4,0,0,13,10,273,0,0.000165235726725434,0
Adams,2020-05-11 19:00:00,4,0,0,14.14,23,296,0,0.000161143156064174,0
Adams,2020-05-12 19:00:00,4,0,0,14.86,13,309,0,0.000160519736019755,0
Adams,2020-05-13 19:00:00,4,0,0,15.14,17,326,0,0.00016320701426599,0
Adams,2020-05-14 19:00:00,4,0,0,15.14,21,347,0,0.000169223317132461,0
Adams,2020-05-15 19:00:00,4,0,0,16.14,19,366,0,0.000178751452757058,0
Adams,2020-05-16 19:00:00,4,0,0,17,16,382,0,0.000192137386807433,0
Adams,2020-05-17 19:00:00,4,0,0,16.86,9,391,0,0.000209898033309639,0
Adams,2020-05-18 19:00:00,4,0,0,14.71,8,399,0,0.00023273686586483,0
Adams,2020-05-19 19:00:00,4,0,0,13.43,4,403,0,0.000261566343909534,0
Adams,2020-05-20 19:00:00,4,0,0,13.71,19,422,0,0.00029753620326576,0
Adams,2020-05-21 19:00:00,4,0,0,13.86,22,444,0,0.000342066506515432,0
Adams,2020-05-22 19:00:00,4,0,0,13.57,17,461,0,0.000396884008388285,0
Adams,2020-05-23 19:00:00,4,0,0,13.14,13,474,0,0.000464059895083825,0
Adams,2020-05-24 19:00:00,4,0,0,13.86,14,488,0,0.000546046352275424,0
Adams,2020-05-25 19:00:00,4,0,0,14,9,497,0,0.000645708778268469,0
Adams,2020-05-26 19:00:00,4,0,0,15.43,14,511,0,0.000766349889748233,0
Adams,2020-05-27 19:00:00,4,0,0,14.86,15,526,0,0.000911721597975086,0
Adams,2020-05-28 19:00:00,4,0,0,13.43,12,538,0,0.00108602050687722,0
Adams,2020-05-29 19:00:00,4,0,0,14.57,25,563,0,0.00129386333585641,0
Adams,2020-05-30 19:00:00,4,0,0,15.86,22,585,0,0.00154023959724943,0
Adams,2020-05-31 19:00:00,4,0,0,15.43,11,596,0,0.0018304404816771,0
Adams,2020-06-01 19:00:00,4,0,0,15.43,9,605,0,0.00216996504976326,0
Adams,2020-06-02 19:00:00,4,0,0,15.86,17,622,0,0.00256440729497448,0
Adams,2020-06-03 19:00:00,4,0,0,18.43,33,655,0,0.00301933013616878,0
Adams,2020-06-04 19:00:00,4,0,0,18.57,13,668,0,0.00354013453851546,0
Adams,2020-06-05 19:00:00,5,1,0.14,45.86,217,885,0.00460829493087558,0.00413193337025298,1.13846604926259
Adams,2020-06-06 19:00:00,5,0,0.14,51.57,62,947,0,0.00479943995997987,0
Adams,2020-06-07 19:00:00,5,0,0.14,53.29,23,970,0,0.00554688043442586,0
Adams,2020-06-08 19:00:00,5,0,0.14,53.57,11,981,0,0.00637793680240707,0
Adams,2020-06-09 19:00:00,6,1,0.29,52.57,11,992,0.0909090909090909,0.007295724586671,1.20908706534603
Adams,2020-06-10 19:00:00,6,0,0.29,51.14,23,1015,0,0.00830280498295547,0
Adams,2020-06-11 19:00:00,6,0,0.29,53.14,27,1042,0,0.00940122749908057,0
Adams,2020-06-12 19:00:00,7,1,0.29,25,20,1062,0.05,0.0105925953080167,1.25293127719801
Adams,2020-06-13 19:00:00,7,0,0.29,22,41,1103,0,0.011878142564462,0
Adams,2020-06-14 19:00:00,8,1,0.43,21.43,20,1123,0.05,0.013258810996076,1.27689387909046
Adams,2020-06-15 19:00:00,8,0,0.43,23.14,23,1146,0,0.0147353123201883,0
Adams,2020-06-16 19:00:00,8,0,0.29,23.71,14,1160,0,0.0163081634663802,0
Adams,2020-06-17 19:00:00,9,1,0.43,24.57,30,1190,0.0333333333333333,0.0179776830508784,1.30477978166808
Adams,2020-06-18 19:00:00,10,1,0.57,24,24,1214,0.0416666666666667,0.0197439398489193,1.31193434642115
Adams,2020-06-19 19:00:00,10,0,0.43,23,12,1226,0,0.02160664695485,0
Adams,2020-06-20 19:00:00,10,0,0.43,27.86,75,1301,0,0.0235649986867251,0
Adams,2020-06-21 19:00:00,10,0,0.29,28.14,21,1322,0,0.0256174509676089,0
Adams,2020-06-22 19:00:00,11,1,0.43,26.43,12,1334,0.0833333333333333,0.0277614498280618,1.33003232940894
Adams,2020-06-23 19:00:00,11,0,0.43,25.57,8,1342,0,0.0299931167855755,0
Adams,2020-06-24 19:00:00,11,0,0.29,24.14,19,1361,0,0.0323069041025784,0
Adams,2020-06-25 19:00:00,12,1,0.29,25.57,34,1395,0.0294117647058824,0.034695237258,1.33283158712389
Adams,2020-06-26 19:00:00,14,2,0.57,25.86,16,1411,0.125,0.0371481662009358,2.66357417365355
Adams,2020-06-27 19:00:00,15,1,0.71,18.71,26,1437,0.0384615384615385,0.0396530507926741,1.32979139028023
Adams,2020-06-28 19:00:00,15,0,0.71,17.71,14,1451,0,0.0421943088972713,0
Adams,2020-06-29 19:00:00,19,4,1.14,19.29,26,1477,0.153846153846154,0.0447532573059339,5.23400080849441
Adams,2020-06-30 19:00:00,19,0,1.14,19.43,9,1486,0,0.0473080755309734,0
Adams,2020-07-01 19:00:00,19,0,1.14,20.43,26,1512,0,0.0498339199141716,0
Adams,2020-07-02 19:00:00,20,1,1.14,20.29,33,1545,0.0303030303030303,0.0523032100562663,1.26274980616248
Adams,2020-07-03 19:00:00,23,3,1.29,22,29,1574,0.103448275862069,0.0546861011575789,3.76587743499668
Adams,2020-07-04 19:00:00,27,4,1.71,31,92,1666,0.0434782608695652,0.0569511445949432,5.04761867853803
Adams,2020-07-05 19:00:00,32,5,2.43,33.86,39,1705,0.128205128205128,0.0590661255878441,6.3363998121485
Adams,2020-07-06 19:00:00,33,1,2,32.14,11,1716,0.0909090909090909,0.0609990520791011,1.27139098022304
Adams,2020-07-07 19:00:00,33,0,2,32.57,12,1728,0,0.062719254313089,0
Adams,2020-07-08 19:00:00,35,2,2.29,33.43,34,1762,0.0588235294117647,0.0641985415020011,2.55154874526425
Adams,2020-07-09 19:00:00,35,0,2.14,31,15,1777,0,0.0654123520899144,0
Adams,2020-07-10 19:00:00,37,2,2,30.57,25,1802,0.08,0.066340828535758,2.54816032721366
Adams,2020-07-11 19:00:00,37,0,1.43,21.29,23,1825,0,0.0669697475311952,0
Adams,2020-07-12 19:00:00,41,4,1.29,21.57,40,1865,0.1,0.0672912422859542,5.06756489814904
Adams,2020-07-13 19:00:00,41,0,1.14,21.71,11,1876,0,0.067304264978671,0
Adams,2020-07-14 19:00:00,43,2,1.43,23.71,28,1904,0.0714285714285714,0.0670147538901418,2.50251764476509
Adams,2020-07-15 19:00:00,45,2,1.43,22.57,26,1930,0.0769230769230769,0.0664354897193837,2.48502501495309
Adams,2020-07-16 19:00:00,46,1,1.57,22.29,14,1944,0.0714285714285714,0.0655856474670292,1.23332950750769
Adams,2020-07-17 19:00:00,49,3,1.71,24.57,42,1986,0.0714285714285714,0.0644900720218608,3.67133335812871
Adams,2020-07-18 19:00:00,51,2,2,27,42,2028,0.0476190476190476,0.0631783250251325,2.42785366631219
Adams,2020-07-19 19:00:00,51,0,1.43,25.86,28,2056,0,0.0616835659997193,0
Adams,2020-07-20 19:00:00,52,1,1.57,26.57,17,2073,0.0588235294117647,0.0600413404266848,1.19284618446357
Adams,2020-07-21 19:00:00,54,2,1.57,25.14,18,2091,0.111111111111111,0.0582883506916,2.36422087296702
Adams,2020-07-22 19:00:00,54,0,1.29,24.43,19,2110,0,0.0564612824412777,0
Adams,2020-07-23 19:00:00,54,0,1.14,28.43,41,2151,0,0.0545957494857622,0
Adams,2020-07-24 19:00:00,56,2,1,28.43,41,2192,0.0487804878048781,0.0527254063940193,2.30029836830657
Adams,2020-07-25 19:00:00,60,4,1.29,28.14,42,2234,0.0952380952380952,0.0508812610565053,4.55925577178263
Adams,2020-07-26 19:00:00,61,1,1.43,27.71,26,2260,0.0384615384615385,0.0490912017876352,1.12975182404149
Adams,2020-07-27 19:00:00,62,1,1.43,29.14,27,2287,0.037037037037037,0.047379736948201,1.12002711331067
Adams,2020-07-28 19:00:00,64,2,1.43,28.57,14,2301,0.142857142857143,0.0457679309747514,2.22140101800304
Adams,2020-07-29 19:00:00,65,1,1.57,30.71,35,2336,0.0285714285714286,0.044273510310863,1.10061604041215
Adams,2020-07-30 19:00:00,66,1,1.71,29.57,34,2370,0.0294117647058824,0.0429111062202218,1.09087409779366
Adams,2020-07-31 19:00:00,69,3,1.86,29.43,41,2411,0.0731707317073171,0.0416925988653761,3.24513088324207
Adams,2020-08-01 19:00:00,69,0,1.29,29.14,36,2447,0,0.0406275276562076,0
Adams,2020-08-02 19:00:00,73,4,1.71,31.86,48,2495,0.0833333333333333,0.0397235359543973,4.29897375740728
Adams,2020-08-03 19:00:00,73,0,1.57,32.57,31,2526,0,0.0389868228041625,0
Adams,2020-08-04 19:00:00,76,3,1.71,32.57,15,2541,0.2,0.0384225796428432,3.20710478679722
Adams,2020-08-05 19:00:00,79,3,2,32.43,36,2577,0.0833333333333333,0.0380353950866438,3.19979448110832
Adams,2020-08-06 19:00:00,82,3,2.29,33,40,2617,0.075,0.0378296155493756,3.18702806491517
Adams,2020-08-07 19:00:00,82,0,1.86,31.29,26,2643,0,0.0378096530979257,0
Adams,2020-08-08 19:00:00,85,3,2.29,30,30,2673,0.1,0.0379802346292087,3.17006121510124
Adams,2020-08-09 19:00:00,85,0,1.71,24.14,3,2676,0,0.0383465880714611,0
Adams,2020-08-10 19:00:00,86,1,1.86,21,10,2686,0.1,0.038914562033883,1.0519414731376
Adams,2020-08-11 19:00:00,86,0,1.43,30.57,79,2765,0,0.039690675384601,0
Adams,2020-08-12 19:00:00,89,3,1.43,31.71,44,2809,0.0681818181818182,0.040682092899514,3.16074958170526
Adams,2020-08-13 19:00:00,91,2,1.29,29.57,24,2833,0.0833333333333333,0.0418965226550676,2.11254728046245
Adams,2020-08-14 19:00:00,93,2,1.57,31,38,2871,0.0526315789473684,0.0433420307190887,2.11538887871548
Adams,2020-08-15 19:00:00,94,1,1.29,34.71,54,2925,0.0185185185185185,0.0450267690930669,1.05867205330159
Adams,2020-08-16 19:00:00,94,0,1.29,39.14,34,2959,0,0.0469586143096643,0
Adams,2020-08-17 19:00:00,94,0,1.14,39.71,13,2972,0,0.0491447167866633,0
Adams,2020-08-18 19:00:00,94,0,1.14,32.29,27,2999,0,0.0515909652289418,0
Adams,2020-08-19 19:00:00,96,2,1,29.29,22,3021,0.0909090909090909,0.0543013761606906,2.13700223316446
Adams,2020-08-20 19:00:00,97,1,0.86,29.29,23,3044,0.0434782608695652,0.0572774259500203,1.07387772190871
Adams,2020-08-21 19:00:00,98,1,0.71,26,14,3058,0.0714285714285714,0.0605173509615585,1.07886541749751
Adams,2020-08-22 19:00:00,98,0,0.57,21.86,24,3082,0,0.0640154501894391,0
Adams,2020-08-23 19:00:00,99,1,0.71,19.29,17,3099,0.0588235294117647,0.067761432801748,1.08891839484561
Adams,2020-08-24 19:00:00,99,0,0.71,18.57,8,3107,0,0.0717398591838475,0
Adams,2020-08-25 19:00:00,101,2,1,17.86,24,3131,0.0833333333333333,0.0759297271542544,2.2038022294499
Adams,2020-08-26 19:00:00,102,1,0.86,19.71,34,3165,0.0294117647058824,0.0803042536514369,1.1085666605493
