name,date,positive,pos_new,pos_7dayavg,negative,neg_new,neg_7dayavg,deaths,dth_new,dth_7dayavg,test_new,tests,pos_rate,pos_rate_gam,case
Adams,2020-03-15 19:00:00,0,0,NA,NA,NA,NA,0,0,NA,6,NA,0,0.00461637654498246,0
Adams,2020-03-16 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00504236721190932,0
Adams,2020-03-17 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00550722768036256,0
Adams,2020-03-18 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00601403689634936,0
Adams,2020-03-19 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00656582527151174,0
Adams,2020-03-20 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00716548802597873,0
Adams,2020-03-21 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00781567880162728,0
Adams,2020-03-22 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00851868211123984,0
Adams,2020-03-23 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.00927626398057178,0
Adams,2020-03-24 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.0100895012784233,0
Adams,2020-03-25 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.0109585917342863,0
Adams,2020-03-26 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.0118826485363639,0
Adams,2020-03-27 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.0128594856474748,0
Adams,2020-03-28 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.0138854024921484,0
Adams,2020-03-29 19:00:00,0,0,0,NA,NA,NA,0,0,0,6,NA,0,0.0149549793222202,0
Adams,2020-03-30 19:00:00,0,0,0,30,NA,NA,0,0,0,6,30,0,0.0160608971318935,0
Adams,2020-03-31 19:00:00,0,0,0,36,6,6,0,0,0,6,36,0,0.0171937982177417,0
Adams,2020-04-01 19:00:00,0,0,0,39,3,4.5,0,0,0,3,39,0,0.018342204999972,0
Adams,2020-04-02 19:00:00,1,1,0.14,40,1,3.33,0,0,0,2,41,0.5,0.0194925152186191,1.47816020176747
Adams,2020-04-03 19:00:00,1,0,0.14,50,10,5,0,0,0,10,51,0,0.0206290907021325,0
Adams,2020-04-04 19:00:00,1,0,0.14,51,1,4.2,0,0,0,1,52,0,0.0217344543252537,0
Adams,2020-04-05 19:00:00,1,0,0.14,51,0,3.5,0,0,0,0,52,0.0555555555555556,0.0227896053184355,0
Adams,2020-04-06 19:00:00,2,1,0.29,59,8,4.14,0,0,0,9,61,0.111111111111111,0.0237744567803258,1.48157437183455
Adams,2020-04-07 19:00:00,2,0,0.29,63,4,3.86,0,0,0,4,65,0,0.0246683912574154,0
Adams,2020-04-08 19:00:00,2,0,0.29,67,4,4,0,0,0,4,69,0,0.0254509210395306,0
Adams,2020-04-09 19:00:00,2,0,0.14,72,5,4.57,0,0,0,5,74,0,0.0261024300253776,0
Adams,2020-04-10 19:00:00,2,0,0.14,75,3,3.57,0,0,0,3,77,0,0.0266049644875376,0
Adams,2020-04-11 19:00:00,2,0,0.14,76,1,3.57,0,0,0,1,78,0,0.0269430317750427,0
Adams,2020-04-12 19:00:00,2,0,0.14,87,11,5.14,0,0,0,11,89,0,0.0271043599473617,0
Adams,2020-04-13 19:00:00,3,1,0.14,91,4,4.57,0,0,0,5,94,0.2,0.0270805684212267,1.457294141321
Adams,2020-04-14 19:00:00,3,0,0.14,93,2,4.29,0,0,0,2,96,0,0.0268677006902167,0
Adams,2020-04-15 19:00:00,3,0,0.14,94,1,3.86,1,1,0.14,1,97,0,0.0264665754355909,0
Adams,2020-04-16 19:00:00,3,0,0.14,97,3,3.57,1,0,0.14,3,100,0,0.0258829219228163,0
Adams,2020-04-17 19:00:00,4,1,0.29,102,5,3.86,1,0,0.14,6,106,0.166666666666667,0.0251272790201146,1.43103187797988
Adams,2020-04-18 19:00:00,4,0,0.29,107,5,4.43,1,0,0.14,5,111,0,0.0242146535739894,0
Adams,2020-04-19 19:00:00,4,0,0.29,108,1,3.14,1,0,0.14,1,112,0,0.0231639518419214,0
Adams,2020-04-20 19:00:00,4,0,0.14,108,0,2.43,1,0,0.14,0,112,0,0.0219972155100993,0
Adams,2020-04-21 19:00:00,4,0,0.14,113,5,2.86,1,0,0.14,5,117,0,0.0207387096315306,0
Adams,2020-04-22 19:00:00,4,0,0.14,116,3,3.14,1,0,0,3,120,0,0.0194139217772688,0
Adams,2020-04-23 19:00:00,4,0,0.14,120,4,3.29,1,0,0,4,124,0,0.0180485383379531,0
Adams,2020-04-24 19:00:00,4,0,0,127,7,3.57,1,0,0,7,131,0,0.016667464364233,0
Adams,2020-04-25 19:00:00,4,0,0,133,6,3.71,1,0,0,6,137,0,0.0152939474619642,0
Adams,2020-04-26 19:00:00,4,0,0,135,2,3.71,1,0,0,2,139,0,0.0139488548335522,0
Adams,2020-04-27 19:00:00,4,0,0,143,8,5,1,0,0,8,147,0,0.0126501370033215,0
Adams,2020-04-28 19:00:00,4,0,0,148,5,5,1,0,0,5,152,0,0.0114124941195393,0
Adams,2020-04-29 19:00:00,4,0,0,155,7,5.57,1,0,0,7,159,0,0.0102472431190764,0
Adams,2020-04-30 19:00:00,4,0,0,159,4,5.57,1,0,0,4,163,0,0.00916236851001135,0
Adams,2020-05-01 19:00:00,4,0,0,169,10,6,1,0,0,10,173,0,0.00816272757501843,0
Adams,2020-05-02 19:00:00,4,0,0,177,8,6.29,1,0,0,8,181,0,0.00725037330925191,0
Adams,2020-05-03 19:00:00,4,0,0,178,1,6.14,1,0,0,1,182,0,0.00642495552948154,0
Adams,2020-05-04 19:00:00,4,0,0,193,15,7.14,1,0,0,15,197,0,0.00568416185119486,0
Adams,2020-05-05 19:00:00,4,0,0,201,8,7.57,1,0,0,8,205,0,0.00502416472155381,0
Adams,2020-05-06 19:00:00,4,0,0,216,15,8.71,1,0,0,15,220,0,0.00444004726682589,0
Adams,2020-05-07 19:00:00,4,0,0,237,21,11.14,1,0,0,21,241,0,0.00392618822238657,0
Adams,2020-05-08 19:00:00,4,0,0,249,12,11.43,1,0,0,12,253,0,0.00347659366835899,0
Adams,2020-05-09 19:00:00,4,0,0,259,10,11.71,1,0,0,10,263,0,0.00308516995228143,0
Adams,2020-05-10 19:00:00,4,0,0,269,10,13,1,0,0,10,273,0,0.0027459375999354,0
Adams,2020-05-11 19:00:00,4,0,0,292,23,14.14,1,0,0,23,296,0,0.00245319000610026,0
Adams,2020-05-12 19:00:00,4,0,0,305,13,14.86,1,0,0,13,309,0,0.00220160329440449,0
Adams,2020-05-13 19:00:00,4,0,0,322,17,15.14,1,0,0,17,326,0,0.00198630510675767,0
Adams,2020-05-14 19:00:00,4,0,0,343,21,15.14,1,0,0,21,347,0,0.00180291048139051,0
Adams,2020-05-15 19:00:00,4,0,0,362,19,16.14,1,0,0,19,366,0,0.00164753267456851,0
Adams,2020-05-16 19:00:00,4,0,0,378,16,17,1,0,0,16,382,0,0.00151677602752473,0
Adams,2020-05-17 19:00:00,4,0,0,387,9,16.86,1,0,0,9,391,0,0.00140771699356138,0
Adams,2020-05-18 19:00:00,4,0,0,395,8,14.71,1,0,0,8,399,0,0.00131787838318089,0
Adams,2020-05-19 19:00:00,4,0,0,399,4,13.43,1,0,0,4,403,0,0.00124520087301921,0
Adams,2020-05-20 19:00:00,4,0,0,418,19,13.71,1,0,0,19,422,0,0.00118801493033228,0
Adams,2020-05-21 19:00:00,4,0,0,440,22,13.86,1,0,0,22,444,0,0.00114501556388456,0
Adams,2020-05-22 19:00:00,4,0,0,457,17,13.57,1,0,0,17,461,0,0.00111524173893103,0
Adams,2020-05-23 19:00:00,4,0,0,470,13,13.14,1,0,0,13,474,0,0.00109806188272731,0
Adams,2020-05-24 19:00:00,4,0,0,484,14,13.86,1,0,0,14,488,0,0.00109316664345492,0
Adams,2020-05-25 19:00:00,4,0,0,493,9,14,1,0,0,9,497,0,0.00110056992976933,0
Adams,2020-05-26 19:00:00,4,0,0,507,14,15.43,1,0,0,14,511,0,0.00112061922768711,0
Adams,2020-05-27 19:00:00,4,0,0,522,15,14.86,1,0,0,15,526,0,0.0011540162416133,0
Adams,2020-05-28 19:00:00,4,0,0,534,12,13.43,1,0,0,12,538,0,0.00120184901076381,0
Adams,2020-05-29 19:00:00,4,0,0,559,25,14.57,1,0,0,25,563,0,0.00126563678099819,0
Adams,2020-05-30 19:00:00,4,0,0,581,22,15.86,1,0,0,22,585,0,0.00134738902725913,0
Adams,2020-05-31 19:00:00,4,0,0,592,11,15.43,1,0,0,11,596,0,0.00144968007714468,0
Adams,2020-06-01 19:00:00,4,0,0,601,9,15.43,1,0,0,9,605,0,0.00157574071733527,0
Adams,2020-06-02 19:00:00,4,0,0,618,17,15.86,1,0,0,17,622,0,0.00172956789165772,0
Adams,2020-06-03 19:00:00,4,0,0,651,33,18.43,1,0,0,33,655,0,0.00191605301388148,0
Adams,2020-06-04 19:00:00,4,0,0,664,13,18.57,1,0,0,13,668,0,0.00214112839099199,0
Adams,2020-06-05 19:00:00,5,1,0.14,880,216,45.86,1,0,0,217,885,0.00460829493087558,0.00241192962658157,1.3107658483659
Adams,2020-06-06 19:00:00,5,0,0.14,942,62,51.57,1,0,0,62,947,0,0.00273696947997089,0
Adams,2020-06-07 19:00:00,5,0,0.14,965,23,53.29,1,0,0,23,970,0,0.00312631533169122,0
Adams,2020-06-08 19:00:00,5,0,0.14,976,11,53.57,1,0,0,11,981,0,0.00359175802419368,0
Adams,2020-06-09 19:00:00,6,1,0.29,986,10,52.57,1,0,0,11,992,0.0909090909090909,0.00414695438344725,1.27354305447369
Adams,2020-06-10 19:00:00,6,0,0.29,1009,23,51.14,1,0,0,23,1015,0,0.00480751931919963,0
Adams,2020-06-11 19:00:00,6,0,0.29,1036,27,53.14,1,0,0,27,1042,0,0.00559103645621028,0
Adams,2020-06-12 19:00:00,7,1,0.29,1055,19,25,1,0,0,20,1062,0.05,0.00651694952560349,1.23690015527694
Adams,2020-06-13 19:00:00,7,0,0.29,1096,41,22,1,0,0,41,1103,0,0.00760629144900611,0
Adams,2020-06-14 19:00:00,8,1,0.43,1115,19,21.43,1,0,0,20,1123,0.05,0.00888120584589046,1.21159407216693
Adams,2020-06-15 19:00:00,8,0,0.43,1138,23,23.14,2,1,0.14,23,1146,0,0.0103642186439134,0
Adams,2020-06-16 19:00:00,8,0,0.29,1152,14,23.71,2,0,0.14,14,1160,0,0.012077227769211,0
Adams,2020-06-17 19:00:00,9,1,0.43,1181,29,24.57,2,0,0.14,30,1190,0.0333333333333333,0.0140401984518362,1.26164332785456
Adams,2020-06-18 19:00:00,10,1,0.57,1204,23,24,2,0,0.14,24,1214,0.0416666666666667,0.0162695814843846,1.27694228030988
Adams,2020-06-19 19:00:00,10,0,0.43,1216,12,23,2,0,0.14,12,1226,0,0.0187765111203903,0
Adams,2020-06-20 19:00:00,10,0,0.43,1291,75,27.86,2,0,0.14,75,1301,0,0.0215648851476136,0
Adams,2020-06-21 19:00:00,10,0,0.29,1312,21,28.14,2,0,0.14,21,1322,0,0.024629476250936,0
Adams,2020-06-22 19:00:00,11,1,0.43,1323,11,26.43,2,0,0,12,1334,0.0833333333333333,0.0279542628987605,1.32507208848695
Adams,2020-06-23 19:00:00,11,0,0.43,1331,8,25.57,2,0,0,8,1342,0,0.0315111901757853,0
Adams,2020-06-24 19:00:00,11,0,0.29,1350,19,24.14,2,0,0,19,1361,0,0.0352595674915715,0
Adams,2020-06-25 19:00:00,12,1,0.29,1383,33,25.57,2,0,0,34,1395,0.0294117647058824,0.0391462753226984,1.33706893745349
Adams,2020-06-26 19:00:00,14,2,0.57,1397,14,25.86,2,0,0,16,1411,0.125,0.0431068869457323,2.66814173342182
Adams,2020-06-27 19:00:00,15,1,0.71,1422,25,18.71,2,0,0,26,1437,0.0384615384615385,0.0470677199615547,1.30497892321879
